FundingSource,Crop_ICP_Run,Ag_grain,Al_grain,As_grain,B_grain,Ba_grain,Be_grain,Ca_grain,Cd_grain,Co_grain,Cr_grain,Cs_grain,Cu_grain,Fe_grain,K_grain,Li_grain,Mg_grain,Mn_grain,Mo_grain,Ni_grain,P_grain,Pb_grain,Rb_grain,S_grain,Se_grain,Sr_grain,Tl_grain,U_grain,V_grain,Zn_grain
GCRF,1,0.00523,3.42417,0.00339,1.05258,0.03205,0.02573,8.72084,0.01918,0.00664,1.41833,0.00077,0.28847,3.46310,9.04288,0.03487,5.77117,0.14653,0.18741,0.59205,2.91305,0.02687,0.00291,63.04235,0.00961,0.07484,0.00062,0.06760,0.00625,1.53521
GCRF,2,0.00693,7.19654,0.00243,1.02452,0.07732,0.01623,9.89074,0.01574,0.00417,1.12123,0.00093,0.64807,7.58477,5.33395,0.02398,2.33310,0.13206,0.03394,0.24244,3.00556,0.03840,0.00542,83.98977,0.00915,0.06423,0.00043,0.05371,0.01176,0.33546
BMGF,1,0.00226,7.14160,0.00716,4.51036,0.19789,0.02444,13.48259,1.74638,0.00323,0.03015,0.00122,0.33168,15.31115,7.42335,0.07457,1.64628,0.21593,0.00490,0.14181,3.69590,0.03866,0.00669,244.91856,0.04722,0.04107,0.00048,0.00057,0.02769,12.47793
BMGF,2,0.00306,2.11432,0.01033,5.44121,0.20100,0.04748,8.11609,0.09511,0.00245,0.06370,0.00149,0.16776,9.81682,13.78410,0.06819,3.14940,0.10555,0.01087,0.19558,5.43938,0.02567,0.00986,391.07653,0.02057,0.03499,0.00070,0.00102,0.03369,0.79650
BMGF,3,0.01267,1.24774,0.00927,3.95244,0.05378,0.03822,12.74253,0.02953,0.00200,0.03508,0.00255,0.11940,5.22644,31.43330,0.09926,1.35434,0.05950,0.03259,2.10662,2.64281,0.03370,0.01785,220.04429,0.00957,0.03803,0.00123,0.00139,0.06154,4.50160
BMGF,4,0.00203,3.69882,0.01255,4.64319,0.12422,0.02926,15.95037,0.00504,0.00180,0.13136,0.00171,0.07669,1.84572,8.12928,0.04888,1.77903,0.04385,0.01222,0.33456,2.65401,0.01038,0.00847,448.22514,0.00600,0.04217,0.00150,0.00162,0.02006,3.13961
BMGF,5,0.00256,1.80028,0.01200,4.00955,0.12927,0.04578,13.12483,0.06092,0.04419,0.83211,0.00133,0.11011,10.71386,10.53204,0.05632,0.83726,0.07886,0.01562,260.27509,2.82872,0.29113,0.00878,527.08873,0.01437,0.02530,0.00065,0.00025,0.03766,4.05589
